Well,Active_electrodes,Spikes,Mean_FiringRate,Mean_ISI,Median_ISI,Ratio_median_ISI_over_mean_ISI,Interspike_interval_variance,Coefficient_of_variation_ISI,Partial_Autocorrelaction_Function,Total_number_of_bursts,Average_length_of_bursts,Burst_length_variance,Coefficient_of_variation_burst_length,Mean_interburst_interval,Mean_intra_burst_firing_rate,Mean_spikes_per_burst,MAD_spikes_per_burst,Isolated_spikes,Single_channel_burst_rate,Network_bursts,Index
1,0.8333333333333334,92.7,2.3175,1.817487390776877,0.9034600000000002,0.1771304673639474,26.72094197488396,4.354499638319088,-0.0363193409640877,2.7,1.0300797916666666,0.0799682913510419,0.2394573733362158,14.654029166666668,26.174956049184345,29.25208333333333,7.602361111111111,0.1077575799664651,0.0674999999999999,2,1.0
1,0.8333333333333334,62.9,1.5725000000000002,1.1451180926633566,0.0816499999999999,0.1041204421670036,13.03051629057812,4.760410747371848,-0.0698692731522032,2.1,1.0539781250000002,0.0890074804843751,0.156670266684385,13.688734375,24.08351669262659,27.58125,6.79125,0.0763358502707505,0.0525,2,2.0
1,0.75,71.33333333333333,1.7833333333333334,0.6168420740313345,0.0633444444444448,0.1131233498634132,7.333362159295098,5.276870706726805,-0.0193761261528448,2.0,1.15706875,0.0542468630208333,0.1672604048044352,14.4121625,25.4432736364936,31.104166666666668,5.756944444444445,0.1032126561049251,0.05,2,3.0
1,0.75,70.0,1.75,0.8237240739600495,0.0930444444444442,0.109076435124344,9.696520005047187,4.90433185329146,-0.0614326676207407,1.6666666666666667,1.0209464285714285,0.1030141728125003,0.2253746906991934,14.617872222222225,27.358606990605264,29.892857142857142,7.678571428571429,0.1985223831468071,0.0416666666666666,2,4.0
1,0.75,97.11111111111111,2.427777777777778,1.0094495477738674,0.101255555555555,0.0920223961457234,12.088263521056694,4.89580882753728,-0.0565822221521372,3.0,1.1283007440476205,0.0528517478527142,0.1424059847078401,16.9861125,24.364549805056,27.552083333333336,6.14360119047619,0.0810597978934585,0.075,3,5.0
1,0.75,67.55555555555556,1.6888888888888889,0.6090555051131664,0.065155555555555,0.1119430477261667,7.842586200545313,5.339274119927451,-0.02140058023116,1.7777777777777777,1.070172916666667,0.0308406742460316,0.0929732881409666,15.570585714285714,29.049687848335367,33.729166666666664,1.8819444444444449,0.1188828641202836,0.0444444444444444,2,6.0
1,0.75,69.0,1.725,0.5890199420735961,0.0804777777777771,0.1265788967115374,6.752391290731834,5.250295568260571,0.0181936034478898,2.0,1.0658124999999998,0.0549271478571429,0.168202385655962,15.15218214285714,24.119568534615933,27.35,6.095000000000001,0.1489043780831571,0.05,2,7.0
1,0.8333333333333334,60.8,1.52,1.0287837562463706,0.0947450000000003,0.1026705414147092,13.265247891885068,4.765354587580422,-0.0482890909206193,1.7,1.02061875,0.1124927036111111,0.2240135977302922,15.46045714285714,25.7689831368498,28.9375,6.9375,0.1556052277474816,0.0424999999999999,2,8.0
1,0.6666666666666666,72.375,1.809375,0.5568948275462254,0.0572687499999997,0.1032461836194223,7.272464609646104,5.500979051240812,-0.0177480206669076,2.375,0.9501320833333332,0.0614064851603174,0.189079646614808,15.106439285714286,23.420138021846856,24.866666666666667,5.984444444444445,0.1632918136774361,0.059375,2,9.0
1,0.75,66.77777777777777,1.6694444444444445,1.1390400548171105,0.0707777777777783,0.0781249980153122,14.92530899270424,4.909052404041136,-0.039940501672246,1.7777777777777777,1.1553624999999996,0.0616470350000002,0.1323411862554747,16.47641111111111,23.949828086477275,28.96875,6.46875,0.1372619397090159,0.0444444444444444,2,10.0
1,0.8333333333333334,84.1,2.1025,1.8768212775761124,0.1476200000000002,0.0894445566560816,21.92087444563268,4.231874349132322,-0.0407433897624487,2.4,1.0916697916666664,0.0699870203075398,0.1836736572014257,15.754188095238094,23.702993441691696,29.166666666666664,5.451388888888888,0.1512883683175217,0.06,1,11.0
1,0.75,65.55555555555556,1.6388888888888888,0.8118963116138486,0.070161111111111,0.098502516996044,12.025929606082617,5.467362709843201,-0.0393264503348601,2.2222222222222223,0.9447350000000004,0.0497556984083332,0.1468805150374217,15.952853125,25.066900553767734,26.133333333333333,6.432222222222222,0.0960557815016238,0.0555555555555555,2,12.0
1,0.8333333333333334,58.7,1.4674999999999998,1.104898968907965,0.1040300000000002,0.1063033882495586,13.102650837120198,4.874236183886454,-0.032612630966352,1.7,1.0736974999999995,0.0552123149333338,0.134640402376701,14.320633333333332,26.87297651031252,31.6875,1.8625,0.1833008587288551,0.0424999999999999,2,13.0
1,0.75,43.66666666666666,1.0916666666666666,0.8548580810603669,0.1050999999999999,0.2363232447473399,8.090192900379504,2.851428367440103,0.0622694285236808,1.2222222222222223,1.1380208333333326,0.2528872577777796,0.2448112288005233,14.679800000000002,25.72941269887956,31.104166666666664,5.548611111111111,0.1571931224078509,0.0305555555555555,1,14.0
1,0.9166666666666664,78.81818181818181,1.9704545454545448,2.1735999902783507,0.4393818181818176,0.1335698959579642,21.9593549537644,4.124285477705373,0.0100344143775394,2.090909090909091,1.210128125,0.2566601843154759,0.1967926621504458,16.462157142857144,26.91552953063717,31.197916666666668,5.564236111111111,0.1246977818530957,0.0522727272727272,1,15.0
1,0.6666666666666666,47.875,1.196875,0.3627998904662672,0.0524874999999993,0.1840266407645769,2.0065803129124324,3.619708118837763,0.1269586713278954,1.5,0.9340124999999996,0.1840673188888883,0.4764471249193509,4.488899999999999,27.967216155951245,28.45833333333333,5.611111111111112,0.155261022678302,0.0375,1,16.0
